objectid,catalog number,unit_quad,area,ctx,mat class 1,mat type 1,mat class 2,mat type 2,object name,object description,manufacture 1,item count,portion represented,date start,date end,comments,most representative photo,for website,display_template,object_location,image_small,image_thumb
23-00009,23-00009,UNIT 22,DOWNHILL,13,CERAMIC,PORCELAIN,,,DOLL,DOLL,MOLD SLIP,1,HEAD,,,,B,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0009.1b.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0009.1b_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0009.1b_th.jpg
23-00010,23-00010,AREA 8,,SURFACE,SYNTHETIC,PLASTIC MISC,,,FORK,FORK DISPOSABLE,MOLDED PLASTIC,1,WHOLE/ENTIRE/COMPLETE,,,WHITE PLASTIC DISPOSABLE FORK,E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0010.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0010.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0010.1e_th.jpg
23-00012,23-00012,AREA 8,,SURFACE,SYNTHETIC,PLASTIC MISC,,,CAP,CAP RING SEAL,MOLDED PLASTIC,1,WHOLE/ENTIRE/COMPLETE,,2015-10-23,RED PLASTIC RING ''OCT2315SWC'' PRINTED IN BLACK WITH THIN TEETH FOR SEALING,E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0012.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0012.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0012.1e_th.jpg
23-00013,23-00013,AREA 8,,SURFACE,SYNTHETIC,PLASTIC MISC,SYNTHETIC,RUBBER VULCANIZED,PENCIL,PENCIL MECHANICAL,MOLDED PLASTIC,1,WHOLE/ENTIRE/COMPLETE,,,MECHANICAL PENCIL WITH ORANGE BODY AND BLACK TOP AND BOTTOM WHITE ERASER STILL CONTAINS GRAPHITE,E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0013.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0013.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0013.1e_th.jpg
23-00014,23-00014,AREA 8,,SURFACE,SYNTHETIC,PLASTIC MISC,SYNTHETIC,PAINT/INK MISC,PEN,PEN BALLPOINT,MOLDED PLASTIC,2,WHOLE/ENTIRE/COMPLETE,,,BLACK INK BALLPOINT PEN WITH TEETH MARKS ON CAP AND END,E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0014.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0014.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0014.1e_th.jpg
23-00015,23-00015,AREA 8,,SURFACE,SYNTHETIC,PLASTIC MISC,,,PENCIL,PENCIL MECHANICAL,MOLDED PLASTIC,1,LID/CAP,,,GREY CAP TO MECHANICAL PENCIL,E,,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0015.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0015.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0015.1e_th.jpg
23-00016,23-00016,AREA 8,,SURFACE,SYNTHETIC,RUBBER VULCANIZED,,,GRIP PENCIL/PEN,PEN/PENCIL GRIP,MOLDED PLASTIC,1,GRIP,,,BLACK GRIP TO MECHANICAL PENCIL,E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0016.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0016.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0016.1e_th.jpg
23-00017,23-00017,AREA 8,,SURFACE,SYNTHETIC,PLASTIC MISC,,,CAP,CAP ERASER,MOLDED PLASTIC,1,LID/CAP,,,CLEAR PLASTIC ERASER LID FOR MECHANICAL PENCIL,B,,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0017.1b.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0017.1b_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0017.1b_th.jpg
23-00018,23-00018,AREA 8,,SURFACE,SYNTHETIC,PLASTIC MISC,,,PEN,PEN BALLPOINT,MOLDED PLASTIC,3,BODY,,,BLACK INK BALLPOINT PEN BADLY DAMAGED,E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0018.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0018.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0018.1e_th.jpg
23-00023,23-00023,AREA 8,,SURFACE,SYNTHETIC,PLASTIC MISC,METAL,STEEL STAINLESS,KEY CHAIN,KEY CHAIN,MOLDED PLASTIC,1,WHOLE/ENTIRE/COMPLETE,,,RED PLASTIC TAG WITH METAL RING PAPER SURFACE WITH SOME FADED INK,E,YES,artifact,https://objects.lib.uidaho.edu/ipa-mhs/mhs-0023.1e.jpg,https://objects.lib.uidaho.edu/ipa-mhs/small/mhs-0023.1e_sm.jpg,https://objects.lib.uidaho.edu/ipa-mhs/thumbs/mhs-0023.1e_th.jpg
